Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Plate (folio 90) from Adventures in KU-TA-BA WA-DO,Gerald Jackson,2859,"(American, born 1936)",(American),(1936),(0),(male),1973,One from an illustrated book with with seventy-nine linoleum cuts,"composition: 7 15/16 × 5 15/16"" (20.2 × 15.1 cm); page: 9 13/16 × 7 15/16"" (25 × 20.2 cm)",Gift of the artist,27.1975.77,Illustrated Book,Drawings & Prints,1975-01-07,N,9970,,,,,,,20.2,,,15.1,,
"Levitation Multifunction Bridge Project, Luxembourg, Elevation",Paolo Soleri,8101,"(American, born Italy. 1919–2013)",(American),(1919),(2013),(male),1958,Silkscreen on paper,"21 3/4 x 59 1/4"" (55.2 x 150.5 cm)",Gift of the architect,116.2013,Architecture,Architecture & Design,1966-01-01,Y,166233,https://www.moma.org/collection/works/166233,https://www.moma.org/media/W1siZiIsIjI2MDc4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=eddd1fb8347554d8,,,,,55.2451104902,,,150.4953009906,,
Dame Flora MacLeod,Arnold Newman,4284,"(American, 1918–2006)",(American),(1918),(2006),(male),1954,Gelatin silver print,"5 1/4 × 9 1/2"" (13.4 × 24.2 cm)",Gift of the artist,496.1959,Photograph,Photography,1959-04-22,N,54380,,,,,,,13.4,,,24.2,,
Preparatory drawing for In Memory of My Feelings,Joan Mitchell,4026,"(American, 1925–1992)",(American),(1925),(1992),(female),1967,Crayon on acetate,"sheet (each): 14 x 10 7/8"" (35.5 x 27.6 cm)",Gift of the artist,2202.1967.77.a-b,Drawing,Drawings & Prints,1967-12-13,Y,97964,https://www.moma.org/collection/works/97964,https://www.moma.org/media/W1siZiIsIjMwOTA2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9ffc685fe110cf23,,,,,35.5,,,27.6,,
Photographs 2,Richard Tuttle,5983,"(American, born 1941)",(American),(1941),(0),(male),1984,Watercolor and pencil on paper with corrugated cardboard mat,"13 x 12"" (33 x 30.5 cm)",Purchase,466.1986.2,Drawing,Drawings & Prints,1986-12-22,Y,292249,https://www.moma.org/collection/works/292249,,,,,,33.0,,,30.5,,
Figuier,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),n.d.,Albumen silver print,"Approx. 8 9/16 × 7 1/16"" (21.8 × 18 cm)","Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.737,Photograph,Photography,1968-03-06,Y,43574,https://www.moma.org/collection/works/43574,https://www.moma.org/media/W1siZiIsIjMxOTQ2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=af732b8f9d4e44d7,,,,,,,,,,
"Ron Bacardi y Compania, S.A., Administration Building, project, Santiago, Cuba (Elevation of column with roof and glass wall, final version)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),c. 1957-58,"Ink, conté crayon on illustration board","40 1/2 x 30 1/2"" (102.9 x 77.5 cm)","Mies van der Rohe Archive, gift of the architect",997.1965,Mies van der Rohe Archive,Architecture & Design,1966-01-11,Y,779,https://www.moma.org/collection/works/779,https://www.moma.org/media/W1siZiIsIjIxMTk2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b5eb8c7aa0a5d255,,,,,102.8702,,,77.4702,,
«KO» N° 165 from Alphabet Bété,Frédéric Bruly Bouabré,30876,"(Ivorian, 1923–2014)",(Ivorian),(1923),(2014),(male),1991,"Colored pencil, pencil, and ballpoint pen on board","3 7/8 × 5 7/8"" (9.8 × 14.9 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,104.2019.170,Drawing,Drawings & Prints,2019-04-04,Y,299189,https://www.moma.org/collection/works/299189,https://www.moma.org/media/W1siZiIsIjQ2MTEzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=27fa21f476665e2a,,,0.0,,9.8,,,14.9,,
"Unidentified Buildings at IIT, Chicago, IL (Elevation. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),n.d.,Pencil on paper,(21 x 15.2 cm.),"Mies van der Rohe Archive, gift of the architect",MR1015.11,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,470428,,,,,,,,,,,,
Frankie and Johnnie from Him,John Sloan,5471,"(American, 1871–1951)",(American),(1871),(1951),(male),1928,Etching,"plate: 4 7/8 x 7 15/16"" (12.4 x 20.2 cm); sheet (irreg.): 10 x 12 7/16"" (25.4 x 31.6 cm)",Gift of Abby Aldrich Rockefeller,1385.1940,Print,Drawings & Prints,1940-04-05,N,76632,,,,,,,12.4,,,20.2,,
